iter	Logloss
0	0.6632587764
1	0.6367215751
2	0.6124270774
3	0.5905608379
4	0.572856923
5	0.5559478769
6	0.5419149467
7	0.5295769296
8	0.5166442329
9	0.5070091443
10	0.4983639864
11	0.4909453615
12	0.4821485413
13	0.4741863008
14	0.468685696
15	0.4635504144
16	0.45775439
17	0.4528661803
18	0.4476972899
19	0.4429975334
20	0.4386324783
21	0.4347826058
22	0.4321012452
23	0.4292282033
24	0.4264416676
25	0.4241570289
26	0.4217095101
27	0.4201860139
28	0.4177971103
29	0.4156426484
30	0.4138801848
31	0.4124986657
32	0.4105291394
33	0.4091139377
34	0.4079273689
35	0.4059170978
36	0.4037278368
37	0.402521803
38	0.4010185758
39	0.4000201378
40	0.3992605509
41	0.3978884262
42	0.3968077099
43	0.3961436265
44	0.3949265746
45	0.3938835602
46	0.3935831135
47	0.3928113291
48	0.3918037997
49	0.3908866084
50	0.390203059
51	0.3895063468
52	0.3889191928
53	0.3879350901
54	0.3874513349
55	0.3868828868
56	0.3857613803
57	0.3847509486
58	0.383976939
59	0.3835623015
60	0.3828475937
61	0.3823915855
62	0.3819748992
63	0.381164204
64	0.3805154844
65	0.3801789778
66	0.3796263629
67	0.3791000281
68	0.3782641061
69	0.3781051254
70	0.3774778982
71	0.3768477405
72	0.375968193
73	0.3755239794
74	0.3749184335
75	0.3744983058
76	0.3739140013
77	0.3736683429
78	0.3727456894
79	0.3723911418
80	0.3718652521
81	0.3711475341
82	0.3705456897
83	0.3703582366
84	0.3697930729
85	0.3695927052
86	0.3693150837
87	0.3690246756
88	0.3684542099
89	0.3681421385
90	0.3678020346
91	0.3674205716
92	0.3668424876
93	0.3660243651
94	0.3656573454
95	0.3653347848
96	0.3644646398
97	0.3641343982
98	0.3638067289
99	0.3635075634
