iter	Passed	Remaining
0	149	14786
1	149	7345
2	150	4867
3	151	3634
4	152	2895
5	153	2401
6	153	2042
7	154	1777
8	155	1571
9	156	1406
10	157	1271
11	157	1156
12	158	1061
13	159	979
14	160	908
15	160	843
16	161	789
17	162	740
18	163	697
19	164	659
20	166	624
21	167	592
22	168	562
23	169	535
24	170	510
25	170	486
26	171	464
27	172	442
28	173	423
29	173	405
30	174	389
31	176	374
32	179	363
33	179	349
34	180	335
35	181	322
36	182	310
37	183	298
38	183	287
39	184	277
40	185	266
41	186	257
42	187	248
43	187	239
44	188	230
45	190	223
46	191	215
47	192	208
48	192	200
49	193	193
50	194	187
51	195	180
52	196	174
53	197	168
54	198	162
55	198	156
56	199	150
57	200	145
58	201	140
59	202	135
60	203	129
61	204	125
62	205	120
63	205	115
64	206	111
65	207	106
66	208	102
67	209	98
68	209	94
69	210	90
70	211	86
71	212	82
72	212	78
73	213	75
74	214	71
75	215	67
76	216	64
77	216	61
78	217	57
79	218	54
80	219	51
81	220	48
82	220	45
83	221	42
84	222	39
85	222	36
86	223	33
87	224	30
88	225	27
89	225	25
90	226	22
91	227	19
92	228	17
93	228	14
94	229	12
95	230	9
96	230	7
97	231	4
98	232	2
99	232	0
